1503103,10,00000110,2,2,20,0,1
1503104,2,00000110,2,1,20,0,1
1503105,2,00000110,2,1,20,0,1
1503106,2,00000110,2,1,20,0,1
1503107,2,00000110,2,1,20,0,1
1503108,2,00000110,2,1,20,0,1
1503109,2,00000110,2,1,20,0,1
1503110,2,00000110,2,1,20,0,1
1503177,121,00000010,3,2,7,0,1
1503178,121,00000010,3,2,8,0,1
1503179,121,00000010,3,2,9,0,1
1503180,121,00000010,3,2,10,0,1
1503181,121,00000010,3,2,11,0,1
1503182,121,00000010,3,2,12,0,1
1503183,121,00000010,3,2,13,0,1
1503184,121,00000010,3,2,14,0,1
1503185,121,00000010,3,2,15,0,1
1503186,121,00000010,3,2,16,0,1
1503187,121,00000010,3,2,17,0,1
1503188,121,00000010,3,2,18,0,1
1503189,10,00000110,2,2,19,0,1
1503190,2,00000110,2,1,19,0,1
1503191,2,00000110,2,1,19,0,1
1503192,2,00000110,2,1,19,0,1
1503193,2,00000110,2,1,19,0,1
1503194,2,00000110,2,1,19,0,1
1503195,2,00000110,2,1,19,0,1
1503196,2,00000110,2,1,19,0,1
1503197,2,00000110,2,1,19,0,1
1503244,90,00001110,5,2,9,0,1
1503245,90,00001110,5,2,10,0,1
1503246,90,00001110,5,2,11,0,1
1503247,90,00001110,5,2,12,0,1
1503248,90,00001110,5,2,13,0,1
1503249,90,00001110,5,2,14,0,1
1503250,90,00001110,5,2,15,0,1
1503251,90,00001110,5,2,16,0,1
1503252,90,00001110,5,2,17,0,1
1503253,90,00001110,5,2,18,0,1
1503254,90,00001110,5,2,19,0,1
1503255,90,00001110,5,2,20,0,1
1503256,90,00001110,5,2,21,0,1
1503257,90,00001110,5,2,22,0,1
1503258,90,00001110,5,2,23,0,1
1503259,90,00001110,5,2,24,0,1
1503260,90,00000110,2,2,25,0,1
1503261,90,00000110,2,2,26,0,1
1503262,90,00100110,2,2,27,0,1
1503263,90,00100110,2,2,28,0,1
1503264,90,00100110,2,2,29,0,1
