Frame,ActionID,Status,BoxID,State,Startup,Active
1489624,95,00000000,0,1,0,0,1
1489625,95,00000000,0,1,0,0,1
1489626,95,10000000,0,1,0,0,1
1489627,95,10000000,0,1,0,0,1
1489628,95,10000000,0,1,0,0,1
1489629,95,10000000,0,1,0,0,1
1489630,95,10000000,0,1,0,0,1
1489631,95,10000000,0,1,0,0,1
1489632,95,10000000,0,1,0,0,1
1489633,95,10000000,0,1,0,0,1
1489634,95,10000000,0,1,0,0,1
1489635,95,10000000,0,1,0,0,1
1489636,95,10000000,0,1,0,0,1
1489637,95,10000000,0,1,0,0,1
1489638,95,10000000,0,1,0,0,1
1489639,95,10000000,0,1,0,0,1
1489640,95,10000000,0,1,0,0,1
1489641,95,10000000,0,1,0,0,1
1489642,95,10000000,0,1,0,0,1
1489643,95,10000000,0,1,0,0,1
1489644,95,10000000,0,1,0,0,1
1489645,95,10000000,0,1,0,0,1
1489646,95,10000000,0,1,0,0,1
1489647,95,10000000,0,1,0,0,1
1489648,95,10000000,0,1,0,0,1
1489649,95,10000000,0,1,0,0,1
1489650,95,10000000,0,1,0,0,1
1489651,95,10000000,0,1,0,0,1
1489652,95,10000000,0,1,0,0,1
1489653,95,10000000,0,1,0,0,1
1489654,95,10000000,0,1,0,0,1
1489655,95,10000000,0,1,0,0,1
1489656,95,10000000,0,1,0,0,1
1489657,95,10000000,0,1,0,0,1
1489658,95,10000000,0,1,0,0,1
1489659,95,10000000,0,1,0,0,1
1489660,95,10000000,0,1,0,0,1
1489661,95,10000000,0,1,0,0,1
1489662,95,10000000,0,1,0,0,1
1489663,95,10000000,0,1,0,0,1
1489664,95,10000000,0,1,0,0,1
1489665,95,10000000,0,1,0,0,1
1489666,95,10000000,0,1,0,0,1
1489667,95,10000000,0,1,0,0,1
1489668,95,10000000,0,1,0,0,1
1489669,95,10000000,0,1,0,0,1
1489670,95,10000000,0,1,0,0,1
1489671,95,10000000,0,1,0,0,1
1489672,95,10000000,0,1,0,0,1
1489673,95,10000000,0,1,0,0,1
1489674,95,10000000,0,1,0,0,1
1489675,95,10000000,0,1,0,0,1
1489676,95,10000000,0,1,0,0,1
1489677,95,10000000,0,1,0,0,1
1489678,95,10000000,0,1,0,0,1
1489679,95,10000000,0,1,0,0,1
1489680,95,10000000,0,1,0,0,1
1489681,95,10000000,0,1,0,0,1
1489682,95,10000000,0,1,0,0,1
1489683,95,10000000,0,1,0,0,1
1489684,95,10000000,0,1,0,0,1
1489685,95,10000000,0,1,0,0,1
1489686,95,10000000,0,1,0,0,1
1489687,95,10000000,0,1,0,0,1
1489688,95,10000000,0,1,0,0,1
1489689,95,10000000,0,1,0,0,1
1489690,95,10000000,0,1,0,0,1
1489691,95,10000000,0,1,0,0,1
1489692,95,10000000,0,1,0,0,1
1489693,95,10000000,0,1,0,0,1
1489694,95,10000000,0,1,0,0,1
1489695,95,10000000,0,1,0,0,1
1489696,95,10000000,0,1,0,0,1
1489697,95,10000000,0,1,0,0,1
1489698,95,10000000,0,1,0,0,1
1489699,95,10000000,0,1,0,0,1
1489700,95,10000000,0,1,0,0,1
1489701,95,10000000,0,1,0,0,1
1489702,95,10000000,0,1,0,0,1
1489703,95,10000000,0,1,0,0,1
1489704,95,10000000,0,1,0,0,1
